temperature,humidity,wind_speed,pressure
30,60,10,1012
31,62,11,1011
32,65,12,1010
33,67,13,1009
34,68,14,1008
35,70,15,1007
36,72,16,1006
37,74,17,1005
38,76,18,1004
39,78,19,1003
40,80,20,1002
41,82,21,1001
42,84,22,1000
43,86,23,999
44,88,24,998
45,90,25,997
29,55,8,1015
28,53,7,1016
27,50,6,1017
26,48,5,1018
25,45,4,1019
24,43,3,1020
23,40,2,1021
22,38,2,1022
21,35,3,1023
30,61,10,1012
31,63,11,1011
32,66,12,1010
33,68,13,1009
34,69,14,1008
35,71,15,1007
36,73,16,1006
37,75,17,1005
38,77,18,1004
39,79,19,1003
40,81,20,1002
41,83,21,1001
42,85,22,1000
43,87,23,999
44,89,24,998
45,91,25,997
29,56,8,1015
28,54,7,1016
27,51,6,1017
26,49,5,1018
25,46,4,1019
24,44,3,1020
23,41,2,1021
22,39,2,1022
21,36,3,1023
30,60,10,1012
31,62,11,1011
32,65,12,1010
33,67,13,1009
34,68,14,1008
35,70,15,1007
36,72,16,1006
37,74,17,1005
38,76,18,1004
39,78,19,1003
40,80,20,1002
41,82,21,1001
42,84,22,1000
43,86,23,999
44,88,24,998
45,90,25,997
29,55,8,1015
28,53,7,1016
27,50,6,1017
26,48,5,1018
25,45,4,1019
24,43,3,1020
23,40,2,1021
22,38,2,1022
21,35,3,1023
30,61,10,1012
31,63,11,1011
32,66,12,1010
33,68,13,1009
34,69,14,1008
35,71,15,1007
36,73,16,1006
37,75,17,1005
38,77,18,1004
39,79,19,1003
40,81,20,1002
41,83,21,1001
42,85,22,1000
43,87,23,999
44,89,24,998
45,91,25,997
29,56,8,1015
28,54,7,1016
27,51,6,1017
26,49,5,1018
25,46,4,1019
24,44,3,1020
23,41,2,1021
22,39,2,1022
21,36,3,1023
30,60,10,1012
31,62,11,1011
32,65,12,1010
33,67,13,1009
34,68,14,1008
35,70,15,1007
36,72,16,1006
37,74,17,1005
38,76,18,1004
39,78,19,1003
40,80,20,1002
41,82,21,1001
42,84,22,1000
43,86,23,999
44,88,24,998
45,90,25,997
29,55,8,1015
28,53,7,1016
27,50,6,1017
26,48,5,1018
25,45,4,1019
24,43,3,1020
23,40,2,1021
22,38,2,1022
21,35,3,1023
30,61,10,1012
31,63,11,1011
32,66,12,1010
33,68,13,1009
34,69,14,1008
35,71,15,1007
36,73,16,1006
37,75,17,1005
38,77,18,1004
39,79,19,1003
40,81,20,1002
41,83,21,1001
42,85,22,1000
43,87,23,999
44,89,24,998
45,91,25,997
29,56,8,1015
28,54,7,1016
27,51,6,1017
26,49,5,1018
25,46,4,1019
24,44,3,1020
23,41,2,1021
22,39,2,1022
21,36,3,1023
30,60,10,1012
31,62,11,1011
32,65,12,1010
33,67,13,1009
34,68,14,1008
35,70,15,1007
36,72,16,1006
37,74,17,1005
38,76,18,1004
39,78,19,1003
40,80,20,1002
41,82,21,1001
42,84,22,1000
43,86,23,999
44,88,24,998
45,90,25,997
29,55,8,1015
28,53,7,1016
27,50,6,1017
26,48,5,1018
25,45,4,1019
24,43,3,1020
23,40,2,1021
22,38,2,1022
21,35,3,1023
30,61,10,1012
31,63,11,1011
32,66,12,1010
33,68,13,1009
34,69,14,1008
35,71,15,1007
36,73,16,1006
37,75,17,1005
38,77,18,1004
39,79,19,1003
40,81,20,1002
41,83,21,1001
42,85,22,1000
43,87,23,999
44,89,24,998
45,91,25,997
29,56,8,1015
28,54,7,1016
27,51,6,1017
26,49,5,1018
25,46,4,1019
24,44,3,1020
23,41,2,1021
22,39,2,1022
21,36,3,1023
30,60,10,1013
31,62,11,1014
32,65,12,1012
33,67,13,1011
34,68,14,1010
35,70,15,1009
36,72,16,1008
37,74,17,1007
38,76,18,1006
39,78,19,1005
40,80,20,1004
41,82,21,1003
42,84,22,1002
43,86,23,1001
44,88,24,1000
45,90,25,999
29,55,8,998
28,53,7,997
27,50,6,1015
26,48,5,1016
25,45,4,1017
24,43,3,1018
23,40,2,1019
22,38,2,1020
21,35,3,1021
